id,name,slot_type,bench_level,craftable,find_only,materials,effects,compatible_weapons,asset_path
angled-grip-ii,Angled Grip II,Underbarrel Mod,2,true,false,6x Plastic Parts; 1x Duct Tape,30% reduced horizontal recoil,Vulcano; Tempest; Osprey; Bobcat,assets/arc_raiders/blueprints/angled-grip-ii.webp
vertical-grip-ii,Vertical Grip II,Underbarrel Mod,2,true,false,6x Plastic Parts; 1x Duct Tape,30% reduced vertical recoil,Arpeggio; Kettle; Ferro; Rattler; Stitcher; Venator,assets/arc_raiders/blueprints/vertical-grip-ii.webp
extended-light-mag-ii,Extended Light Mag II,Light Magazine Mod,2,true,false,1x Mechanical Components; 1x Steel Spring,+10 magazine size,Burletta; Bobcat,assets/arc_raiders/blueprints/extended-light-mag-ii.webp
extended-medium-mag-ii,Extended Medium Mag II,Medium Magazine Mod,2,true,false,6x Plastic Parts; 1x Steel Spring,+8 magazine size,Arpeggio; Venator; Torrente; Renegade; Osprey; Tempest,assets/arc_raiders/blueprints/extended-medium-mag-ii.webp
extended-shotgun-mag-ii,Extended Shotgun Mag II,Shotgun Magazine Mod,2,true,false,1x Mechanical Components; 1x Steel Spring,+4 magazine size,Il Toro; Vulcano,assets/arc_raiders/blueprints/extended-shotgun-mag-ii.webp
stable-stock-ii,Stable Stock II,Stock Mod,2,true,false,1x Mechanical Components; 1x Duct Tape,60% reduced recoil recovery time; 60% reduced dispersion recovery time,Renegade; Vulcano; Torrente,assets/arc_raiders/blueprints/stable-stock-ii.webp
compensator-iii,Compensator III,Muzzle Mod,3,true,false,1x Mod Components; 6x Wires,50% reduced per-shot dispersion; 20% increased durability burn time,Arpeggio; Renegade; Anvil; Burletta; Osprey,assets/arc_raiders/blueprints/compensator-iii.webp
muzzle-brake-iii,Muzzle Brake III,Muzzle Mod,3,true,false,1x Mod Components; 6x Wires,25% reduced horizontal recoil; 25% reduced vertical recoil; 20% increased durability burn time,Arpeggio; Anvil; Ferro; Bobcat; Torrente; Tempest; Osprey; Renegade,assets/arc_raiders/blueprints/muzzle-brake-iii.webp
shotgun-choke-iii,Shotgun Choke III,Shotgun Muzzle Mod,3,true,false,1x Mod Components; 9x Wires,40% reduced base dispersion; 20% increased durability burn time,Vulcano; Il Toro,assets/arc_raiders/blueprints/shotgun-choke-iii.webp
silencer-ii,Silencer II,Muzzle Mod,3,true,false,1x Mod Components; 9x Wires,40% reduced noise,Bobcat; Osprey; Torrente; Tempest; Arpeggio; Anvil; Burletta; Renegade,assets/arc_raiders/blueprints/silencer-ii.webp
silencer-iii,Silencer III,Muzzle Mod,3,true,false,3x Mod Components; 15x Wires,60% reduced noise; 20% increased durability burn rate,Bobcat; Osprey; Torrente; Tempest; Arpeggio; Renegade,assets/arc_raiders/scrappy_resources/silencer_iii.webp
shotgun-silencer,Shotgun Silencer,Shotgun Muzzle Mod,3,true,false,1x Mod Components; 9x Wires,50% reduced noise,Il Toro; Vulcano,assets/arc_raiders/blueprints/shotgun-silencer.webp
extended-barrel,Extended Barrel,Barrel,3,true,false,6x Metal Parts; 1x Steel Spring,25% increased bullet velocity; 15% increased vertical recoil,Osprey; Stitcher; Ferro; Arpeggio; Anvil; Burletta; Kettle,assets/arc_raiders/blueprints/extended-barrel.webp
angled-grip-iii,Angled Grip III,Underbarrel Mod,3,true,false,1x Mod Components; 6x Duct Tape,40% reduced horizontal recoil; 30% reduced ADS speed,Vulcano; Osprey; Ferro; Venator; Il Toro,assets/arc_raiders/blueprints/angled-grip-iii.webp
vertical-grip-iii,Vertical Grip III,Underbarrel Mod,3,true,false,1x Mod Components; 6x Duct Tape,40% reduced vertical recoil; 30% reduced ADS speed,Arpeggio; Il Toro; Vulcano,assets/arc_raiders/blueprints/vertical-grip-iii.webp
horizontal-grip,Horizontal Grip,Underbarrel Mod,3,true,false,1x Mod Components; 6x Duct Tape,30% reduced horizontal recoil; 30% reduced vertical recoil; 30% reduced ADS speed,Tempest; Vulcano; Osprey,assets/arc_raiders/scrappy_resources/horizontal_grip.webp
extended-light-mag-iii,Extended Light Mag III,Light Magazine Mod,3,true,false,1x Mod Components; 6x Steel Spring,+15 magazine size,Burletta; Bobcat,assets/arc_raiders/blueprints/extended-light-mag-iii.webp
extended-medium-mag-iii,Extended Medium Mag III,Medium Magazine Mod,3,true,false,1x Mod Components; 6x Steel Spring,+12 magazine size,Arpeggio; Venator; Torrente; Renegade; Osprey; Tempest,assets/arc_raiders/blueprints/extended-medium-mag-iii.webp
extended-shotgun-mag-iii,Extended Shotgun Mag III,Shotgun Magazine Mod,3,true,false,1x Mod Components; 6x Steel Spring,+6 magazine size,Il Toro; Vulcano,assets/arc_raiders/blueprints/extended-shotgun-mag-iii.webp
stable-stock-iii,Stable Stock III,Stock Mod,3,true,false,1x Mod Components; 6x Duct Tape,50% reduced recoil recovery time; 50% reduced dispersion recovery time; 20% increased equip time; 20% increased unequip time,Bobcat; Vulcano; Osprey; Il Toro; Ferro; Renegade,assets/arc_raiders/blueprints/stable-stock-iii.webp
lightweight-stock,Lightweight Stock,Stock Mod,3,true,false,1x Mod Components; 6x Duct Tape,50% increased recoil recovery duration; 50% increased vertical recoil control; 30% reduced equip time; 30% reduced unequip time; 200% increased ADS speed,Renegade; Vulcano,assets/arc_raiders/blueprints/lightweight-stock.webp
padded-stock,Padded Stock,Stock Mod,3,true,false,1x Mod Components; 6x Duct Tape,30% reduced horizontal recoil; 30% reduced vertical recoil; 30% reduced per-shot dispersion; 20% increased equip time; 20% increased unequip time; 30% reduced ADS speed,Rattler; Il Toro; Osprey; Stitcher; Ferro; Arpeggio; Renegade; Vulcano,assets/arc_raiders/blueprints/padded-stock.webp
kinetic-converter,Kinetic Converter,Converter,0,false,true,,15% increased fire rate; 20% increased horizontal recoil; 20% increased vertical recoil,Arpeggio; Rattler; Kettle; Vulcano; Osprey; Torrente; Ferro; Il Toro,assets/arc_raiders/blueprints/kinetic_converter.webp
anvil-splitter,Anvil Splitter,Tech Mod / Special,0,false,true,,+3 projectiles per shot; 60% reduced projectile damage,Anvil,assets/arc_raiders/blueprints/anvil_splitter.webp
