source_file,classification,background_system,migration_status,exception_reason
lib\features\trading_hub\arc_raiders\screens\arc_beta_feedback_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_command_centre_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_create_trade_listing_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_help_centre_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_intel_explorer_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_mandatory_onboarding_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_market_intelligence_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_match_rider_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_my_trade_listings_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_profile_edit_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_profile_setup_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_raiders_hub_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_season_reset_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\arc_trader_search_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\blueprint_grid_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\favourite_loadout_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\my_hub_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\my_intel_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\nomadic_trader_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\operations_command_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\play_like_a_pro_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\referral_tools_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\scrappy_grid_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\smart_trade_assist_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trader_hub_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_activity_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_blueprint_watches_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_create_listing_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_listing_detail_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_listing_queues_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_listings_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_make_offer_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_my_listings_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_my_offers_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_notifications_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_profile_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\screens\trading_trade_sessions_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\session_planner\session_planner_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\voice\voice_profiles.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\arc_beta_first_run.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\arc_market_overview_card.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\arc_profile_status_card.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\arc_raiders_screen_shell.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\arc_shared_page_ownership.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\arc_systems_page_wrapper.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\arc_trade_network_panel.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\command_centre\arc_command_centre_content.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\command_centre\arc_command_centre_widgets.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\foundation\arc_cinematic_scaffold.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\foundation\arc_my_hub_command_header.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\foundation\arc_my_hub_intelligence_feed.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\my_hub_cinematic_background.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\arc_raiders\widgets\trading_hub_feature_card.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\features\trading_hub\trading_hub_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\home_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\main.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\reg\onboarding_basic_profile_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\screens\build\admin_console_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\screens\build\app_entry_gate.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\screens\build\auth\auth_landing_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\screens\build\feedback_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\screens\build\splash_screen.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\widgets\arc_responsive_page_shell.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\widgets\responsive_layout_helper.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
lib\widgets\uag_page_carousel.dart,user/admin route or full-screen surface,ArcGlobalVisualSystem + transparent Scaffold,migrated,
